Time,ElapsedTime,x,y,z
19:52:36.011,6141.1987,0.3497434,0.467599,-1.141744
19:52:36.111,6241.3437,0.3440044,0.6248814,-1.129999
19:52:36.221,6351.214,0.3648825,0.8265971,-1.128425
19:52:36.322,6451.8877,0.3813527,1.033565,-1.111758
19:52:36.433,6562.9022,0.3763549,1.151502,-1.087776
19:52:36.533,6663.2988,0.3479645,1.2547,-1.042445
19:52:36.656,6785.6437,0.3162284,1.31241,-1.006399
19:52:36.765,6895.5516,0.2830628,1.361424,-0.9694163
19:52:36.877,7006.7666,0.2630816,1.400125,-0.9457735
19:52:36.987,7117.1418,0.2413816,1.430093,-0.919109
19:52:37.088,7217.7268,0.2229133,1.451267,-0.8990518
19:52:37.188,7318.2332,0.2052019,1.468486,-0.8798724
19:52:37.299,7429.1844,0.1878803,1.480803,-0.8614918
19:52:37.410,7540.2643,0.1740539,1.490755,-0.8457438
19:52:37.521,7651.0844,0.16295,1.497545,-0.831414
19:52:37.632,7762.425,0.1538289,1.503562,-0.8138199
19:52:37.733,7862.6593,0.1465087,1.510057,-0.7953417
19:52:37.843,7972.6679,0.1413965,1.512531,-0.7773019
19:52:37.943,8072.9727,0.1369038,1.51369,-0.7629288
19:52:38.043,8173.5003,0.1322958,1.515309,-0.7509184
19:52:38.153,8283.5797,0.126792,1.516607,-0.7396144
19:52:38.254,8384.3469,0.1228068,1.516447,-0.7334012
19:52:38.355,8484.8226,0.1257064,1.512628,-0.7365232
19:52:38.465,8595.0158,0.1277189,1.511533,-0.7425039
19:52:38.577,8707.2814,0.1274025,1.513683,-0.7448366
19:52:38.688,8818.1549,0.1238775,1.517083,-0.745339
19:52:38.799,8929.2337,0.1128855,1.519354,-0.7449641
19:52:38.910,9040.3988,0.1012805,1.51905,-0.7445654
19:52:39.020,9150.5721,0.09062719,1.520523,-0.7404076
19:52:39.132,9261.9037,0.08397341,1.519144,-0.7343873
19:52:39.232,9362.3219,0.07934642,1.517132,-0.7299855
19:52:39.343,9472.778,0.072155,1.514746,-0.7267129
19:52:39.443,9572.8096,0.06317186,1.513933,-0.725554
19:52:39.543,9672.9139,0.04889488,1.515646,-0.7278045
19:52:39.653,9783.3589,0.03361297,1.517225,-0.734243
19:52:39.755,9884.6378,0.02103567,1.521169,-0.7383571
19:52:39.855,9985.1705,0.01158214,1.524322,-0.7403826
19:52:39.964,10094.3143,0.006237984,1.529109,-0.7397023
19:52:40.076,10206.0373,0.007356882,1.537239,-0.7411288
19:52:40.187,10317.4087,0.01861024,1.539017,-0.7478131
19:52:40.297,10427.1734,0.03161716,1.539467,-0.7567867
19:52:40.399,10529.121,0.03822637,1.542506,-0.7729197
19:52:40.509,10638.8443,0.04698586,1.546553,-0.796438
19:52:40.620,10750.1693,0.05708623,1.554455,-0.8230675
19:52:40.731,10861.3062,0.06169271,1.563103,-0.854812
19:52:40.842,10972.1302,0.05684829,1.567339,-0.8931695
19:52:40.953,11083.4619,0.04840541,1.571277,-0.9324669
19:52:41.064,11194.3047,0.04118919,1.570682,-0.9683231
19:52:41.175,11305.4988,0.03432274,1.564902,-0.9959871
19:52:41.285,11415.2668,0.03574228,1.547585,-1.019986
19:52:41.385,11515.5486,0.04208088,1.532639,-1.028928
19:52:41.486,11616.0347,0.05943036,1.517526,-1.028807
19:52:41.598,11728.1031,0.09045362,1.49598,-1.014909
19:52:41.708,11838.555,0.13166,1.476917,-0.9921788
19:52:41.809,11939.244,0.1669455,1.454551,-0.9674393
19:52:41.919,12049.3183,0.2038381,1.440203,-0.9406706
19:52:42.020,12149.8243,0.2363346,1.43299,-0.9132351
19:52:42.131,12260.8802,0.2697351,1.425693,-0.8825058
